,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,3195000000.0,2685000000.0,2595000000.0,2219000000.0,
Repurchase Of Capital Stock,0.0,0.0,-987000000.0,-1673000000.0,
Repayment Of Debt,-3273000000.0,-3128000000.0,-2160000000.0,-2102000000.0,
Issuance Of Debt,1498000000.0,4026000000.0,2612000000.0,3058000000.0,
Issuance Of Capital Stock,1000000.0,15000000.0,21000000.0,36000000.0,
Capital Expenditure,-1197000000.0,-1612000000.0,-1510000000.0,-1417000000.0,
End Cash Position,1494000000.0,2178000000.0,1109000000.0,1768000000.0,
Other Cash Adjustment Outside Changein Cash,-292000000.0,21000000.0,-30000000.0,,
Beginning Cash Position,2178000000.0,1109000000.0,1768000000.0,2675000000.0,
Effect Of Exchange Rate Changes,-18000000.0,-35000000.0,-33000000.0,-76000000.0,
Changes In Cash,-374000000.0,1083000000.0,-596000000.0,-831000000.0,
Financing Cash Flow,-3784000000.0,-1494000000.0,-3106000000.0,-3041000000.0,
Net Other Financing Charges,,29000000.0,-233000000.0,-178000000.0,-20000000.0
Cash Dividends Paid,-1846000000.0,-2298000000.0,-2242000000.0,-2065000000.0,
Common Stock Dividend Paid,-1846000000.0,-2298000000.0,-2242000000.0,-2065000000.0,
Net Common Stock Issuance,1000000.0,15000000.0,-966000000.0,-1637000000.0,
Common Stock Payments,0.0,0.0,-987000000.0,-1673000000.0,
Common Stock Issuance,1000000.0,15000000.0,21000000.0,36000000.0,
Net Issuance Payments Of Debt,-1775000000.0,898000000.0,452000000.0,956000000.0,
Net Long Term Debt Issuance,-1775000000.0,898000000.0,452000000.0,956000000.0,
Long Term Debt Payments,-3273000000.0,-3128000000.0,-2160000000.0,-2102000000.0,
Long Term Debt Issuance,1498000000.0,4026000000.0,2612000000.0,3058000000.0,
Investing Cash Flow,-982000000.0,-1720000000.0,-1595000000.0,-1426000000.0,
Net Business Purchase And Sale,218000000.0,24000000.0,-52000000.0,43000000.0,
Sale Of Business,288000000.0,143000000.0,87000000.0,559000000.0,
Purchase Of Business,-70000000.0,-119000000.0,-139000000.0,-516000000.0,
Net PPE Purchase And Sale,-1181000000.0,-1549000000.0,-1496000000.0,-1401000000.0,
Sale Of PPE,16000000.0,63000000.0,14000000.0,16000000.0,
Purchase Of PPE,-1197000000.0,-1612000000.0,-1510000000.0,-1417000000.0,
Operating Cash Flow,4392000000.0,4297000000.0,4105000000.0,3636000000.0,
Taxes Refund Paid,-817000000.0,-1114000000.0,-1099000000.0,-1443000000.0,
Interest Received Cfo,292000000.0,181000000.0,156000000.0,157000000.0,
Interest Paid Cfo,-1044000000.0,-980000000.0,-1017000000.0,-822000000.0,
Dividend Received Cfo,116000000.0,175000000.0,269000000.0,271000000.0,
Change In Working Capital,76000000.0,-77000000.0,-768000000.0,-1414000000.0,
Change In Payable,325000000.0,442000000.0,-546000000.0,-746000000.0,
Change In Inventory,-120000000.0,-470000000.0,-156000000.0,-810000000.0,
Change In Receivables,-129000000.0,-49000000.0,-66000000.0,142000000.0,
Other Non Cash Items,809000000.0,,881000000.0,691000000.0,548000000.0
Deferred Tax,606000000.0,999000000.0,1294000000.0,1163000000.0,
Depreciation And Amortization,2480000000.0,1718000000.0,493000000.0,1297000000.0,
Amortization Cash Flow,,,,,54579856.394333
Depreciation,2480000000.0,1718000000.0,493000000.0,1297000000.0,
Pension And Employee Benefit Expense,,,,-25000000.0,-89000000.0
Gain Loss On Sale Of PPE,,,0.0,0.0,-112000000.0
Gain Loss On Sale Of Business,1000000.0,244000000.0,74000000.0,-343000000.0,
Net Income From Continuing Operations,1958000000.0,2538000000.0,4166000000.0,4479000000.0,
