,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,1290000.0,-37375000.0,-8057875.457875,2267458.348104,
Tax Rate For Calcs,0.258,0.299,0.236996,0.206133,
Normalized EBITDA,6113000000.0,6484000000.0,7121000000.0,7879000000.0,
Total Unusual Items,5000000.0,-125000000.0,-34000000.0,11000000.0,
Total Unusual Items Excluding Goodwill,5000000.0,-125000000.0,-34000000.0,11000000.0,
Net Income From Continuing Operation Net Minority Interest,1737000000.0,2354000000.0,3870000000.0,4445000000.0,
Reconciled Depreciation,2480000000.0,1718000000.0,493000000.0,1297000000.0,
Reconciled Cost Of Revenue,7962000000.0,8072000000.0,8071000000.0,8289000000.0,
EBITDA,6118000000.0,6359000000.0,7087000000.0,7890000000.0,
EBIT,3638000000.0,4641000000.0,6594000000.0,6593000000.0,
Net Interest Income,-822000000.0,-866000000.0,-925000000.0,-723000000.0,
Interest Expense,1074000000.0,1104000000.0,1134000000.0,951000000.0,
Interest Income,254000000.0,210000000.0,194000000.0,201000000.0,
Normalized Income,1733290000.0,2441625000.0,3895942124.542125,4436267458.348104,
Net Income From Continuing And Discontinued Operation,1737000000.0,2354000000.0,3870000000.0,4445000000.0,
Total Expenses,16487000000.0,15910000000.0,14268000000.0,15008000000.0,
Total Operating Income As Reported,3156000000.0,4335000000.0,6001000000.0,5547000000.0,
Diluted Average Shares,2231000000.0,2228000000.0,2239000000.0,2271000000.0,
Basic Average Shares,2224000000.0,2222000000.0,2234000000.0,2264000000.0,
Diluted EPS,0.779,1.057,1.728,2.073585,
Basic EPS,0.781,1.059,1.732,2.079891,
Diluted NI Availto Com Stockholders,1737000000.0,2354000000.0,3870000000.0,4445000000.0,
Net Income Common Stockholders,1737000000.0,2354000000.0,3870000000.0,4445000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1737000000.0,2354000000.0,3870000000.0,4445000000.0,
Minority Interests,-221000000.0,-184000000.0,-296000000.0,-34000000.0,
Net Income Including Noncontrolling Interests,1958000000.0,2538000000.0,4166000000.0,4479000000.0,
Net Income Continuous Operations,1958000000.0,2538000000.0,4166000000.0,4479000000.0,
Tax Provision,606000000.0,999000000.0,1294000000.0,1163000000.0,
Pretax Income,2564000000.0,3537000000.0,5460000000.0,5642000000.0,
Other Non Operating Income Expenses,7000000.0,,4000000.0,364000000.0,-88000000.0
Special Income Charges,17000000.0,-123000000.0,-33000000.0,10000000.0,
Other Special Charges,-17000000.0,147000000.0,33000000.0,-10000000.0,
Impairment Of Capital Assets,,,,,407529594.411023
Restructuring And Mergern Acquisition,0.0,-24000000.0,0.0,10090435.528423,
Net Non Operating Interest Income Expense,-822000000.0,-866000000.0,-925000000.0,-723000000.0,
Total Other Finance Cost,2000000.0,-28000000.0,-15000000.0,-27000000.0,
Interest Expense Non Operating,1074000000.0,1104000000.0,1134000000.0,951000000.0,
Interest Income Non Operating,254000000.0,210000000.0,194000000.0,201000000.0,
Operating Income,3156000000.0,4335000000.0,6001000000.0,5547000000.0,
Operating Expense,8525000000.0,7838000000.0,6197000000.0,6719000000.0,
Other Operating Expenses,5342000000.0,4176000000.0,2506000000.0,3056000000.0,
Selling General And Administration,3183000000.0,3662000000.0,3691000000.0,3663000000.0,
Selling And Marketing Expense,3183000000.0,3662000000.0,3691000000.0,3663000000.0,
Gross Profit,11681000000.0,12173000000.0,12198000000.0,12266000000.0,
Cost Of Revenue,7962000000.0,8072000000.0,8071000000.0,8289000000.0,
Total Revenue,19643000000.0,20245000000.0,20269000000.0,20555000000.0,
Operating Revenue,19643000000.0,20245000000.0,20269000000.0,20555000000.0,
