,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Free Cash Flow,1626000000.0,4097000000.0,-209000000.0,775000000.0,1787000000.0,
Repurchase Of Capital Stock,-234000000.0,-1124000000.0,-471000000.0,-876000000.0,-378000000.0,
Repayment Of Debt,-854000000.0,-2052000000.0,-542000000.0,-2070000000.0,110000000.0,
Issuance Of Debt,101000000.0,724000000.0,2133000000.0,3430000000.0,85000000.0,
Capital Expenditure,-287000000.0,-235000000.0,-293000000.0,-360000000.0,-267000000.0,
End Cash Position,10232000000.0,9657000000.0,9491000000.0,8713000000.0,8560000000.0,
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0,,-46000000.0
Beginning Cash Position,9657000000.0,9491000000.0,8713000000.0,8560000000.0,7500000000.0,
Effect Of Exchange Rate Changes,-3000000.0,-9000000.0,-6000000.0,-1000000.0,1000000.0,
Changes In Cash,578000000.0,175000000.0,784000000.0,154000000.0,1059000000.0,
Financing Cash Flow,-1494000000.0,-2515000000.0,236000000.0,243000000.0,-308000000.0,
Cash Flow From Continuing Financing Activities,-1494000000.0,-2515000000.0,236000000.0,243000000.0,-308000000.0,
Net Other Financing Charges,11000000.0,-37000000.0,11000000.0,30000000.0,86000000.0,
Proceeds From Stock Option Exercised,26000000.0,37000000.0,58000000.0,0.0,-2000000.0,
Cash Dividends Paid,-373000000.0,-376000000.0,-377000000.0,-381000000.0,-385000000.0,
Common Stock Dividend Paid,-373000000.0,-376000000.0,-377000000.0,-381000000.0,-385000000.0,
Net Common Stock Issuance,-234000000.0,-1124000000.0,-471000000.0,-876000000.0,-378000000.0,
Common Stock Payments,-234000000.0,-1124000000.0,-471000000.0,-876000000.0,-378000000.0,
Net Issuance Payments Of Debt,-753000000.0,-1328000000.0,1591000000.0,1360000000.0,195000000.0,
Net Short Term Debt Issuance,-753000000.0,-578000000.0,1591000000.0,-734000000.0,195000000.0,
Short Term Debt Payments,-854000000.0,-1302000000.0,-545000000.0,-1170000000.0,110000000.0,
Short Term Debt Issuance,101000000.0,724000000.0,2136000000.0,436000000.0,85000000.0,
Net Long Term Debt Issuance,0.0,-750000000.0,0.0,2094000000.0,0.0,
Long Term Debt Payments,0.0,-750000000.0,3000000.0,-900000000.0,0.0,
Long Term Debt Issuance,,,-3000000.0,2994000000.0,,5130000000.0
Investing Cash Flow,159000000.0,-1642000000.0,464000000.0,-1224000000.0,-687000000.0,
Cash Flow From Continuing Investing Activities,159000000.0,-1642000000.0,464000000.0,-1224000000.0,-687000000.0,
Net Other Investing Changes,170000000.0,-323000000.0,243000000.0,-124000000.0,-189000000.0,
Net Investment Purchase And Sale,276000000.0,-1089000000.0,481000000.0,-741000000.0,-281000000.0,
Sale Of Investment,3408000000.0,3646000000.0,3242000000.0,3422000000.0,3857000000.0,
Purchase Of Investment,-3132000000.0,-4735000000.0,-2761000000.0,-4163000000.0,-4138000000.0,
Net Business Purchase And Sale,0.0,5000000.0,33000000.0,1000000.0,50000000.0,
Sale Of Business,0.0,5000000.0,33000000.0,1000000.0,50000000.0,
Purchase Of Business,,,,,,-3685000000.0
Net PPE Purchase And Sale,-287000000.0,-235000000.0,-293000000.0,-360000000.0,-267000000.0,
Purchase Of PPE,-287000000.0,-235000000.0,-293000000.0,-360000000.0,-267000000.0,
Operating Cash Flow,1913000000.0,4332000000.0,84000000.0,1135000000.0,2054000000.0,
Cash Flow From Continuing Operating Activities,1913000000.0,4332000000.0,84000000.0,1135000000.0,2054000000.0,
Change In Working Capital,40000000.0,2660000000.0,-524000000.0,-750000000.0,-218000000.0,
Change In Other Working Capital,-278000000.0,910000000.0,-652000000.0,-320000000.0,167000000.0,
Change In Other Current Assets,111000000.0,-1552000000.0,530000000.0,166000000.0,13000000.0,
Change In Payables And Accrued Expense,1238000000.0,2886000000.0,-2259000000.0,-151000000.0,738000000.0,
Change In Payable,1238000000.0,2886000000.0,-2259000000.0,-151000000.0,738000000.0,
Change In Account Payable,1238000000.0,2886000000.0,-2259000000.0,-151000000.0,738000000.0,
Change In Receivables,-657000000.0,-1174000000.0,756000000.0,815000000.0,-923000000.0,
Stock Based Compensation,75000000.0,55000000.0,30000000.0,84000000.0,81000000.0,
Asset Impairment Charge,33000000.0,4000000.0,38000000.0,70000000.0,0.0,
Deferred Tax,151000000.0,-274000000.0,-322000000.0,269000000.0,-52000000.0,
Deferred Income Tax,151000000.0,-274000000.0,-322000000.0,269000000.0,-52000000.0,
Depreciation And Amortization,366000000.0,354000000.0,406000000.0,387000000.0,380000000.0,
Operating Gains Losses,-206000000.0,-227000000.0,-90000000.0,-112000000.0,119000000.0,
Earnings Losses From Equity Investments,-262000000.0,-305000000.0,-147000000.0,-113000000.0,-12000000.0,
Gain Loss On Investment Securities,56000000.0,78000000.0,57000000.0,1000000.0,131000000.0,
Gain Loss On Sale Of Business,,,0.0,0.0,,0.0
Net Income From Continuing Operations,1454000000.0,1760000000.0,546000000.0,1187000000.0,1744000000.0,
