,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1834000000.0,1133000000.0,-1854000000.0,836000000.0,1157000000.0,,
Repurchase Of Capital Stock,-1000000.0,-107000000.0,-42000000.0,0.0,-100000000.0,,
Repayment Of Debt,-271000000.0,-10000000.0,-279000000.0,5000000.0,-772000000.0,,
Issuance Of Debt,607000000.0,1683000000.0,0.0,0.0,0.0,,
Capital Expenditure,-132000000.0,-121000000.0,-202000000.0,-135000000.0,-114000000.0,,
Interest Paid Supplemental Data,172000000.0,142000000.0,188000000.0,147000000.0,150000000.0,,
Income Tax Paid Supplemental Data,,,80000000.0,122000000.0,,,0.0
End Cash Position,6893000000.0,4951000000.0,4200000000.0,5388000000.0,4040000000.0,,
Beginning Cash Position,4951000000.0,4200000000.0,5388000000.0,4040000000.0,4250000000.0,,
Changes In Cash,1942000000.0,751000000.0,-1188000000.0,1348000000.0,-210000000.0,,
Financing Cash Flow,249000000.0,2050000000.0,-168000000.0,-603000000.0,-1828000000.0,,
Cash Flow From Continuing Financing Activities,249000000.0,2050000000.0,-168000000.0,-603000000.0,-1828000000.0,,
Net Other Financing Charges,-98000000.0,646000000.0,178000000.0,-589000000.0,-723000000.0,,
Cash Dividends Paid,-107000000.0,-107000000.0,-109000000.0,-107000000.0,-106000000.0,,
Common Stock Dividend Paid,-107000000.0,-107000000.0,-109000000.0,-107000000.0,-106000000.0,,
Net Common Stock Issuance,-1000000.0,-107000000.0,-42000000.0,0.0,-100000000.0,,
Common Stock Payments,-1000000.0,-107000000.0,-42000000.0,0.0,-100000000.0,,
Net Issuance Payments Of Debt,336000000.0,1673000000.0,-274000000.0,0.0,-772000000.0,,
Net Short Term Debt Issuance,607000000.0,693000000.0,-97000000.0,0.0,-1000000.0,,
Short Term Debt Payments,,,,,-1000000.0,-4000000.0,
Short Term Debt Issuance,607000000.0,693000000.0,,,,,
Net Long Term Debt Issuance,-271000000.0,980000000.0,-177000000.0,0.0,-771000000.0,,
Long Term Debt Payments,-271000000.0,-10000000.0,-177000000.0,0.0,-771000000.0,,
Long Term Debt Issuance,0.0,990000000.0,0.0,0.0,0.0,,
Investing Cash Flow,-273000000.0,-2553000000.0,632000000.0,980000000.0,347000000.0,,
Cash Flow From Continuing Investing Activities,-273000000.0,-2553000000.0,632000000.0,980000000.0,347000000.0,,
Net Other Investing Changes,-119000000.0,55000000.0,-79000000.0,-93000000.0,127000000.0,,
Net Investment Purchase And Sale,-43000000.0,-1576000000.0,966000000.0,1097000000.0,335000000.0,,
Sale Of Investment,1293000000.0,1318000000.0,2208000000.0,4354000000.0,1449000000.0,,
Purchase Of Investment,-1336000000.0,-2894000000.0,-1242000000.0,-3257000000.0,-1114000000.0,,
Net Business Purchase And Sale,21000000.0,-911000000.0,-76000000.0,111000000.0,-1000000.0,,
Sale Of Business,,,0.0,115000000.0,,,
Purchase Of Business,-19000000.0,-911000000.0,-76000000.0,-4000000.0,-1000000.0,,
Net PPE Purchase And Sale,-132000000.0,-121000000.0,-179000000.0,-135000000.0,-114000000.0,,
Purchase Of PPE,-132000000.0,-121000000.0,-202000000.0,-135000000.0,-114000000.0,,
Operating Cash Flow,1966000000.0,1254000000.0,-1652000000.0,971000000.0,1271000000.0,,
Cash Flow From Continuing Operating Activities,1966000000.0,1254000000.0,-1652000000.0,971000000.0,1271000000.0,,
Change In Working Capital,964000000.0,-215000000.0,-1410000000.0,427000000.0,418000000.0,,
Change In Other Working Capital,-20000000.0,-87000000.0,91000000.0,-9000000.0,9000000.0,,
Change In Other Current Liabilities,789000000.0,452000000.0,5000000.0,307000000.0,817000000.0,,
Change In Other Current Assets,488000000.0,-1390000000.0,-799000000.0,-716000000.0,28000000.0,,
Change In Payables And Accrued Expense,185000000.0,2724000000.0,-121000000.0,-971000000.0,-391000000.0,,
Change In Payable,185000000.0,2724000000.0,-121000000.0,-971000000.0,-391000000.0,,
Change In Account Payable,185000000.0,2724000000.0,-121000000.0,-971000000.0,-391000000.0,,
Change In Receivables,-478000000.0,-1914000000.0,-586000000.0,1816000000.0,-45000000.0,,
Other Non Cash Items,-13000000.0,21000000.0,,,,7000000.0,32000000.0
Stock Based Compensation,65000000.0,51000000.0,48000000.0,83000000.0,61000000.0,,
Asset Impairment Charge,23000000.0,2000000.0,110000000.0,0.0,37000000.0,,
Depreciation And Amortization,188000000.0,194000000.0,194000000.0,204000000.0,211000000.0,,
Amortization Cash Flow,8000000.0,11000000.0,8000000.0,13000000.0,15000000.0,,
Amortization Of Intangibles,8000000.0,11000000.0,8000000.0,13000000.0,15000000.0,,
Depreciation,180000000.0,183000000.0,186000000.0,191000000.0,196000000.0,,
Operating Gains Losses,46000000.0,17000000.0,134000000.0,36000000.0,8000000.0,,
Earnings Losses From Equity Investments,21000000.0,16000000.0,14000000.0,26000000.0,19000000.0,,
Gain Loss On Investment Securities,25000000.0,1000000.0,116000000.0,-53000000.0,-11000000.0,,
Gain Loss On Sale Of Business,,,4000000.0,,,,
Net Income From Continuing Operations,693000000.0,1184000000.0,-776000000.0,194000000.0,543000000.0,,
