,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,-985163.204748,-13230000.0,0.0,
Tax Rate For Calcs,0.256,0.25,0.246291,0.21,0.247,
Total Unusual Items,,,-4000000.0,-63000000.0,,
Total Unusual Items Excluding Goodwill,,,-4000000.0,-63000000.0,,
Net Income From Continuing Operation Net Minority Interest,694000000.0,1186000000.0,-796000000.0,195000000.0,545000000.0,
Reconciled Depreciation,188000000.0,194000000.0,194000000.0,204000000.0,211000000.0,
EBIT,1149000000.0,1788000000.0,-865000000.0,302000000.0,898000000.0,
Net Interest Income,-197000000.0,-193000000.0,-146000000.0,-168000000.0,-157000000.0,
Interest Expense,197000000.0,193000000.0,146000000.0,168000000.0,157000000.0,
Normalized Income,694000000.0,1186000000.0,-792985163.204748,244770000.0,545000000.0,
Net Income From Continuing And Discontinued Operation,694000000.0,1186000000.0,-796000000.0,195000000.0,545000000.0,
Total Expenses,39915000000.0,38053000000.0,33526000000.0,32515000000.0,31647000000.0,
Diluted Average Shares,121135000.0,120652000.0,,120745000.0,120745000.0,120844000.0
Basic Average Shares,120066000.0,120332000.0,,120273000.0,120539000.0,120666000.0
Diluted EPS,5.73,9.83,,1.62,4.51,10.3
Basic EPS,5.78,9.85,,1.62,4.52,10.31
Diluted NI Availto Com Stockholders,694000000.0,1186000000.0,-796000000.0,195000000.0,545000000.0,
Net Income Common Stockholders,694000000.0,1186000000.0,-796000000.0,195000000.0,545000000.0,
Net Income,694000000.0,1186000000.0,-796000000.0,195000000.0,545000000.0,
Minority Interests,1000000.0,2000000.0,-20000000.0,1000000.0,2000000.0,
Net Income Including Noncontrolling Interests,693000000.0,1184000000.0,-776000000.0,194000000.0,543000000.0,
Net Income Continuous Operations,693000000.0,1184000000.0,-776000000.0,194000000.0,543000000.0,
Earnings From Equity Interest Net Of Tax,-21000000.0,-16000000.0,-14000000.0,-26000000.0,-19000000.0,
Tax Provision,238000000.0,395000000.0,-249000000.0,-86000000.0,179000000.0,
Pretax Income,952000000.0,1595000000.0,-1011000000.0,134000000.0,741000000.0,
Special Income Charges,,,-4000000.0,-63000000.0,,
Other Special Charges,,,4000000.0,63000000.0,,
Net Non Operating Interest Income Expense,-197000000.0,-193000000.0,-146000000.0,-168000000.0,-157000000.0,
Interest Expense Non Operating,197000000.0,193000000.0,146000000.0,168000000.0,157000000.0,
Other Operating Expenses,4189000000.0,3990000000.0,4491000000.0,4120000000.0,3747000000.0,
Depreciation And Amortization In Income Statement,159000000.0,163000000.0,164000000.0,173000000.0,178000000.0,
Total Revenue,40867000000.0,39648000000.0,32515000000.0,32649000000.0,32388000000.0,
Operating Revenue,40867000000.0,39648000000.0,32515000000.0,32649000000.0,32388000000.0,
Loss Adjustment Expense,35370000000.0,,,,,
Net Policyholder Benefits And Claims,35370000000.0,33707000000.0,28721000000.0,27991000000.0,27565000000.0,
