,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
Free Cash Flow,17562000000.0,5516000000.0,3022000000.0,72000000.0,1671000000.0,
Repurchase Of Capital Stock,0.0,-350000000.0,-300000000.0,,0.0,0.0
Repayment Of Debt,-4754000000.0,-1683000000.0,-2943000000.0,-1015000000.0,-978000000.0,
Issuance Of Debt,0.0,,,0.0,1748000000.0,
Capital Expenditure,-7826000000.0,-6387000000.0,-5389000000.0,-5658000000.0,-2938000000.0,
End Cash Position,25022000000.0,13934000000.0,9732000000.0,9646000000.0,10169000000.0,
Beginning Cash Position,13934000000.0,9732000000.0,9646000000.0,10169000000.0,7563000000.0,
Effect Of Exchange Rate Changes,3000000.0,-9000000.0,14000000.0,9000000.0,46000000.0,
Changes In Cash,11085000000.0,4211000000.0,72000000.0,-532000000.0,2560000000.0,
Financing Cash Flow,-4734000000.0,-2167000000.0,-3745000000.0,-1064000000.0,540000000.0,
Cash Flow From Continuing Financing Activities,-4734000000.0,-2167000000.0,-3745000000.0,-1064000000.0,540000000.0,
Net Other Financing Charges,408000000.0,176000000.0,-1000000.0,81000000.0,-61000000.0,
Proceeds From Stock Option Exercised,-217000000.0,-178000000.0,-367000000.0,,-38000000.0,-45000000.0
Cash Dividends Paid,-171000000.0,-132000000.0,-134000000.0,-130000000.0,-131000000.0,
Common Stock Dividend Paid,-171000000.0,-132000000.0,-134000000.0,-130000000.0,-131000000.0,
Net Common Stock Issuance,0.0,-350000000.0,-300000000.0,,0.0,0.0
Common Stock Payments,0.0,-350000000.0,-300000000.0,,0.0,0.0
Net Issuance Payments Of Debt,-4754000000.0,-1683000000.0,-2943000000.0,-1015000000.0,770000000.0,
Net Long Term Debt Issuance,-4754000000.0,-1683000000.0,-2943000000.0,-1015000000.0,770000000.0,
Long Term Debt Payments,-4754000000.0,-1683000000.0,-2943000000.0,-1015000000.0,-978000000.0,
Long Term Debt Issuance,0.0,,,0.0,1748000000.0,
Investing Cash Flow,-9569000000.0,-5525000000.0,-4594000000.0,-5198000000.0,-2589000000.0,
Cash Flow From Continuing Investing Activities,-9569000000.0,-5525000000.0,-4594000000.0,-5198000000.0,-2589000000.0,
Net Other Investing Changes,677000000.0,1294000000.0,782000000.0,698000000.0,361000000.0,
Net Investment Purchase And Sale,-2420000000.0,-432000000.0,13000000.0,-238000000.0,-12000000.0,
Sale Of Investment,532000000.0,433000000.0,268000000.0,449000000.0,375000000.0,
Purchase Of Investment,-2952000000.0,-865000000.0,-255000000.0,-687000000.0,-387000000.0,
Capital Expenditure Reported,-7826000000.0,-6387000000.0,-5389000000.0,-5658000000.0,-2938000000.0,
Operating Cash Flow,25388000000.0,11903000000.0,8411000000.0,5730000000.0,4609000000.0,
Cash Flow From Continuing Operating Activities,25388000000.0,11903000000.0,8411000000.0,5730000000.0,4609000000.0,
Change In Working Capital,-5787000000.0,-4138000000.0,431000000.0,158000000.0,275000000.0,
Change In Other Current Liabilities,3767000000.0,2579000000.0,996000000.0,409000000.0,-296000000.0,
Change In Other Current Assets,,,,,-2000000.0,
Change In Payables And Accrued Expense,2401000000.0,772000000.0,156000000.0,824000000.0,752000000.0,
Change In Inventory,-300000000.0,-62000000.0,150000000.0,372000000.0,280000000.0,
Change In Receivables,-11655000000.0,-7427000000.0,-871000000.0,-1653000000.0,-461000000.0,
Other Non Cash Items,213000000.0,-339000000.0,238000000.0,-28000000.0,102000000.0,
Stock Based Compensation,355000000.0,309000000.0,290000000.0,250000000.0,253000000.0,
Depreciation Amortization Depletion,2364000000.0,2286000000.0,2212000000.0,2149000000.0,2094000000.0,
Depreciation And Amortization,2364000000.0,2286000000.0,2212000000.0,2149000000.0,2094000000.0,
Net Income From Continuing Operations,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0,
