,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.15,0.147,0.137,0.118149,0.111
Normalized EBITDA,35576000000.0,18478000000.0,8347000000.0,5904000000.0,4330000000.0
Net Income From Continuing Operation Net Minority Interest,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Reconciled Depreciation,2364000000.0,2286000000.0,2212000000.0,2149000000.0,2094000000.0
Reconciled Cost Of Revenue,6400000000.0,6105000000.0,5997000000.0,6261000000.0,5793000000.0
EBITDA,35576000000.0,18478000000.0,8347000000.0,5904000000.0,4330000000.0
EBIT,33212000000.0,16192000000.0,6135000000.0,3755000000.0,2236000000.0
Net Interest Income,215000000.0,123000000.0,65000000.0,22000000.0,12000000.0
Interest Expense,0.0,32000000.0,74000000.0,124000000.0,123000000.0
Interest Income,215000000.0,155000000.0,139000000.0,146000000.0,135000000.0
Normalized Income,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Net Income From Continuing And Discontinued Operation,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Total Expenses,8138000000.0,7725000000.0,7507000000.0,7622000000.0,7132000000.0
Total Operating Income As Reported,33318000000.0,16135000000.0,6136000000.0,3654000000.0,2169000000.0
Diluted Average Shares,1145000000.0,1142000000.0,1138000000.0,1131000000.0,1125000000.0
Basic Average Shares,1128000000.0,1126000000.0,1125000000.0,1120000000.0,1118000000.0
Diluted EPS,24.67,12.07,4.6,2.83,1.68
Basic EPS,25.03,12.25,4.66,2.86,1.69
Diluted NI Availto Com Stockholders,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Net Income Common Stockholders,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Net Income,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Net Income Including Noncontrolling Interests,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Net Income Continuous Operations,28243000000.0,13785000000.0,5240000000.0,3201000000.0,1885000000.0
Earnings From Equity Interest Net Of Tax,9000000.0,-4000000.0,8000000.0,-1000000.0,7000000.0
Tax Provision,4978000000.0,2371000000.0,829000000.0,429000000.0,235000000.0
Pretax Income,33212000000.0,16160000000.0,6061000000.0,3631000000.0,2113000000.0
Other Income Expense,-321000000.0,-98000000.0,-140000000.0,-84000000.0,-68000000.0
Other Non Operating Income Expenses,-321000000.0,-98000000.0,-140000000.0,86000000.0,-68000000.0
Net Non Operating Interest Income Expense,215000000.0,123000000.0,65000000.0,22000000.0,12000000.0
Interest Expense Non Operating,0.0,32000000.0,74000000.0,124000000.0,123000000.0
Interest Income Non Operating,215000000.0,155000000.0,139000000.0,146000000.0,135000000.0
Operating Income,33318000000.0,16135000000.0,6136000000.0,3693000000.0,2169000000.0
Operating Expense,1738000000.0,1620000000.0,1510000000.0,1361000000.0,1339000000.0
Other Operating Expenses,15000000.0,26000000.0,2000000.0,0.0,56000000.0
Research And Development,1316000000.0,1250000000.0,1171000000.0,1047000000.0,965000000.0
Selling General And Administration,407000000.0,344000000.0,337000000.0,314000000.0,318000000.0
Gross Profit,35056000000.0,17755000000.0,7646000000.0,5054000000.0,3508000000.0
Cost Of Revenue,6400000000.0,6105000000.0,5997000000.0,6261000000.0,5793000000.0
Total Revenue,41456000000.0,23860000000.0,13643000000.0,11315000000.0,9301000000.0
Operating Revenue,41456000000.0,23860000000.0,13643000000.0,11315000000.0,9301000000.0
