,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-11100000.0,52600000.0,-166200000.0,371800000.0,
Repurchase Of Capital Stock,-2300000.0,-200000.0,-1200000.0,-700000.0,
Issuance Of Capital Stock,2500000.0,100000.0,0.0,700000.0,
Capital Expenditure,-40600000.0,-32300000.0,-36400000.0,-30500000.0,
End Cash Position,117000000.0,258600000.0,420100000.0,861600000.0,
Beginning Cash Position,258600000.0,420100000.0,861600000.0,1246600000.0,
Changes In Cash,-141600000.0,-161500000.0,-441500000.0,-385000000.0,
Financing Cash Flow,-197900000.0,-201400000.0,-268800000.0,-757500000.0,
Net Other Financing Charges,-900000.0,-5500000.0,-9200000.0,-4100000.0,
Cash Dividends Paid,-192100000.0,-191800000.0,-255400000.0,-750100000.0,
Common Stock Dividend Paid,-192100000.0,-191800000.0,-255400000.0,,
Net Common Stock Issuance,200000.0,-100000.0,-1200000.0,0.0,
Common Stock Payments,-2300000.0,-200000.0,-1200000.0,-700000.0,
Common Stock Issuance,2500000.0,100000.0,0.0,700000.0,
Investing Cash Flow,26800000.0,-45000000.0,-42900000.0,-29800000.0,
Net Other Investing Changes,,,,,1800000.0
Net Business Purchase And Sale,64600000.0,0.0,-700000.0,-200000.0,
Sale Of Business,68100000.0,0.0,,,
Purchase Of Business,-3500000.0,0.0,-700000.0,-200000.0,
Net PPE Purchase And Sale,-37800000.0,-27500000.0,-35400000.0,-29600000.0,
Sale Of PPE,2800000.0,4800000.0,1000000.0,900000.0,
Purchase Of PPE,-40600000.0,-32300000.0,-36400000.0,-30500000.0,
Operating Cash Flow,29500000.0,84900000.0,-129800000.0,402300000.0,
Taxes Refund Paid,-96100000.0,-97800000.0,-71600000.0,-164200000.0,
Interest Received Cfo,3800000.0,5100000.0,11700000.0,3500000.0,
Interest Paid Cfo,-16700000.0,-9300000.0,-4300000.0,-3300000.0,
Dividend Received Cfo,,0.0,0.0,,
Change In Working Capital,-349400000.0,-232700000.0,-425700000.0,-459200000.0,
Change In Payable,321400000.0,-49600000.0,-233600000.0,141100000.0,
Change In Inventory,-590100000.0,-200400000.0,-235300000.0,-532500000.0,
Change In Receivables,-80700000.0,17300000.0,43200000.0,-67800000.0,
Other Non Cash Items,62500000.0,26600000.0,-22500000.0,-11600000.0,
Stock Based Compensation,16100000.0,14700000.0,4500000.0,9000000.0,
Provisionand Write Offof Assets,,,0.0,275000000.0,0.0
Deferred Tax,111600000.0,92000000.0,96400000.0,169700000.0,
Depreciation And Amortization,21200000.0,20100000.0,18700000.0,15800000.0,
Amortization Cash Flow,100000.0,0.0,0.0,0.0,
Depreciation,21100000.0,20100000.0,18700000.0,15800000.0,
Gain Loss On Sale Of PPE,-1500000.0,-2500000.0,0.0,,
Gain Loss On Sale Of Business,-11100000.0,0.0,,,
Net Income From Continuing Operations,285700000.0,267100000.0,255400000.0,561000000.0,
