,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,3117946.136421,-6404901.141743,0.0,0.0
Tax Rate For Calcs,0.280896,0.256196,0.274,0.232
Normalized EBITDA,445300000.0,425400000.0,385300000.0,750600000.0
Total Unusual Items,11100000.0,-25000000.0,0.0,
Total Unusual Items Excluding Goodwill,11100000.0,-25000000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,285700000.0,267100000.0,255400000.0,561000000.0
Reconciled Depreciation,21200000.0,20100000.0,18700000.0,15800000.0
Reconciled Cost Of Revenue,3134800000.0,2620300000.0,2253100000.0,2948300000.0
EBITDA,456400000.0,400400000.0,385300000.0,750600000.0
EBIT,435200000.0,380300000.0,366600000.0,734800000.0
Net Interest Income,-26500000.0,-10100000.0,4900000.0,5800000.0
Interest Expense,37900000.0,21200000.0,14800000.0,4100000.0
Interest Income,10700000.0,9600000.0,18100000.0,6000000.0
Normalized Income,277717946.136421,285695098.858257,255400000.0,561000000.0
Net Income From Continuing And Discontinued Operation,285700000.0,267100000.0,255400000.0,561000000.0
Total Expenses,3338600000.0,2806500000.0,2426300000.0,3090900000.0
Diluted Average Shares,323800000.0,323100000.0,321000000.0,321800000.0
Basic Average Shares,320100000.0,319600000.0,319200000.0,319200000.0
Diluted EPS,0.882,0.827,0.795,1.743
Basic EPS,0.893,0.836,0.8,1.758
Diluted NI Availto Com Stockholders,285700000.0,267100000.0,255400000.0,561000000.0
Net Income Common Stockholders,285700000.0,267100000.0,255400000.0,561000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,285700000.0,267100000.0,255400000.0,561000000.0
Net Income Including Noncontrolling Interests,285700000.0,267100000.0,255400000.0,561000000.0
Net Income Continuous Operations,285700000.0,267100000.0,255400000.0,561000000.0
Tax Provision,111600000.0,92000000.0,96400000.0,169700000.0
Pretax Income,397300000.0,359100000.0,351800000.0,730700000.0
Special Income Charges,11100000.0,-25000000.0,0.0,
Other Special Charges,-11100000.0,,,
Write Off,0.0,25000000.0,0.0,
Net Non Operating Interest Income Expense,-26500000.0,-10100000.0,4900000.0,5800000.0
Total Other Finance Cost,-700000.0,-1500000.0,-1600000.0,-3900000.0
Interest Expense Non Operating,37900000.0,21200000.0,14800000.0,4100000.0
Interest Income Non Operating,10700000.0,9600000.0,18100000.0,6000000.0
Operating Income,412700000.0,394200000.0,346900000.0,724900000.0
Operating Expense,203800000.0,186200000.0,173200000.0,142600000.0
Other Operating Expenses,225200000.0,196000000.0,181800000.0,152900000.0
Gross Profit,616500000.0,580400000.0,520100000.0,867500000.0
Cost Of Revenue,3134800000.0,2620300000.0,2253100000.0,2948300000.0
Total Revenue,3751300000.0,3200700000.0,2773200000.0,3815800000.0
Operating Revenue,3751300000.0,3200700000.0,2773200000.0,3815800000.0
