contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270115P00045000,2026-08-27 15:09:34+00:00,45.0,0.04,0.0,0.05,0.0,0.0,1.0,12128,1.71875140625,False,REGULAR,USD
SNDK270115P00050000,2026-08-27 18:30:56+00:00,50.0,0.05,0.0,0.1,0.0,0.0,20.0,3142,1.7578137109375,False,REGULAR,USD
SNDK270115P00055000,2026-08-24 15:44:21+00:00,55.0,0.05,0.0,0.25,0.0,0.0,4.0,3419,1.8437507812499998,False,REGULAR,USD
SNDK270115P00060000,2026-08-28 19:58:57+00:00,60.0,0.1,0.0,0.5,0.0,0.0,12.0,289,1.9121098144531252,False,REGULAR,USD
SNDK270115P00065000,2026-08-24 16:39:25+00:00,65.0,0.04,0.0,0.6,0.0,0.0,10.0,76,1.8955083349609376,False,REGULAR,USD
SNDK270115P00070000,2026-08-24 15:47:35+00:00,70.0,0.05,0.0,0.35,0.0,0.0,4.0,186,1.751954365234375,False,REGULAR,USD
SNDK270115P00075000,2026-08-24 16:39:28+00:00,75.0,0.05,0.0,0.4,0.0,0.0,15.0,292,1.732423212890625,False,REGULAR,USD
SNDK270115P00080000,2026-08-24 15:47:19+00:00,80.0,0.03,0.0,0.4,0.0,0.0,4.0,140,1.6933609082031251,False,REGULAR,USD
SNDK270115P00085000,2026-08-24 16:39:25+00:00,85.0,0.03,0.0,1.4,0.0,0.0,6.0,169,1.888672431640625,False,REGULAR,USD
SNDK270115P00090000,2026-08-28 15:11:57+00:00,90.0,0.05,0.0,0.15,0.0,0.0,5.0,107,1.4882838085937498,False,REGULAR,USD
SNDK270115P00095000,2026-08-31 15:55:08+00:00,95.0,0.15,0.05,7.2,0.0,0.0,20.0,562,2.269657646179199,False,REGULAR,USD
SNDK270115P00100000,2026-08-28 15:11:35+00:00,100.0,0.11,0.05,0.2,0.0,0.0,9.0,1356,1.4921900390624998,False,REGULAR,USD
SNDK270115P00105000,2026-08-14 15:57:33+00:00,105.0,0.05,0.0,0.7,0.0,0.0,20.0,144,1.6142597412109376,False,REGULAR,USD
