,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,10253000000.0,8149000000.0,160000000.0,5055000000.0,6302000000.0,,
Repurchase Of Capital Stock,-1646000000.0,0.0,0.0,0.0,-2545000000.0,,
Repayment Of Debt,-3313000000.0,-1500000000.0,-1050000000.0,-597000000.0,-1403000000.0,,
Issuance Of Debt,-1100000000.0,1100000000.0,0.0,0.0,-942000000.0,,
Issuance Of Capital Stock,128000000.0,231000000.0,24000000.0,222000000.0,221000000.0,,
Capital Expenditure,-799000000.0,-763000000.0,-948000000.0,-890000000.0,-886000000.0,,
End Cash Position,28585000000.0,28001000000.0,24365000000.0,27210000000.0,28596000000.0,,
Other Cash Adjustment Outside Changein Cash,-51000000.0,170000000.0,-326000000.0,-4000000.0,66000000.0,,
Beginning Cash Position,28001000000.0,24365000000.0,27210000000.0,28596000000.0,30717000000.0,,
Effect Of Exchange Rate Changes,4000000.0,-7000000.0,15000000.0,-4000000.0,14000000.0,,
Changes In Cash,631000000.0,3473000000.0,-2534000000.0,-1378000000.0,-2201000000.0,,
Financing Cash Flow,-8623000000.0,-2992000000.0,-1031000000.0,-2765000000.0,-7947000000.0,,
Cash Flow From Continuing Financing Activities,-8623000000.0,-2992000000.0,-1031000000.0,-2765000000.0,-7947000000.0,,
Net Other Financing Charges,-605000000.0,-818000000.0,2659000000.0,-1857000000.0,-1278000000.0,,
Cash Dividends Paid,-2087000000.0,-2005000000.0,-2002000000.0,-2002000000.0,-2000000000.0,,
Common Stock Dividend Paid,-2087000000.0,-2005000000.0,-2002000000.0,-2002000000.0,-2000000000.0,,
Net Common Stock Issuance,-1518000000.0,231000000.0,24000000.0,222000000.0,-2324000000.0,,
Common Stock Payments,-1646000000.0,0.0,0.0,0.0,-2545000000.0,,
Common Stock Issuance,128000000.0,231000000.0,24000000.0,222000000.0,221000000.0,,
Net Issuance Payments Of Debt,-4413000000.0,-400000000.0,-1712000000.0,872000000.0,-2345000000.0,,
Net Short Term Debt Issuance,-3413000000.0,1100000000.0,-662000000.0,2872000000.0,-5314000000.0,,
Short Term Debt Issuance,,1100000000.0,,,,3911000000.0,
Net Long Term Debt Issuance,-1000000000.0,-1500000000.0,-1050000000.0,-2000000000.0,2969000000.0,,
Long Term Debt Payments,-1000000000.0,-1500000000.0,-1050000000.0,-2000000000.0,0.0,,
Long Term Debt Issuance,,,0.0,0.0,2969000000.0,0.0,0.0
Investing Cash Flow,-1798000000.0,-2447000000.0,-2611000000.0,-4558000000.0,-1442000000.0,,
Cash Flow From Continuing Investing Activities,-1798000000.0,-2447000000.0,-2611000000.0,-4558000000.0,-1442000000.0,,
Net Other Investing Changes,-502000000.0,668000000.0,-294000000.0,-296000000.0,-634000000.0,,
Net Investment Purchase And Sale,-399000000.0,-2352000000.0,-1296000000.0,330000000.0,110000000.0,,
Sale Of Investment,3211000000.0,4163000000.0,3272000000.0,4955000000.0,4155000000.0,,
Purchase Of Investment,-3610000000.0,-6515000000.0,-4568000000.0,-4625000000.0,-4045000000.0,,
Net Business Purchase And Sale,-98000000.0,0.0,-73000000.0,-3702000000.0,-32000000.0,,
Purchase Of Business,-98000000.0,0.0,-73000000.0,-3702000000.0,-32000000.0,,
Net PPE Purchase And Sale,-799000000.0,-763000000.0,-948000000.0,-890000000.0,-886000000.0,,
Purchase Of PPE,-799000000.0,-763000000.0,-948000000.0,-890000000.0,-886000000.0,,
Operating Cash Flow,11052000000.0,8912000000.0,1108000000.0,5945000000.0,7188000000.0,,
Cash Flow From Continuing Operating Activities,11052000000.0,8912000000.0,1108000000.0,5945000000.0,7188000000.0,,
Change In Working Capital,4065000000.0,746000000.0,-495000000.0,2992000000.0,2415000000.0,,
Change In Other Working Capital,-442000000.0,20000000.0,107000000.0,338000000.0,-272000000.0,,
Change In Other Current Liabilities,,,,,,-544000000.0,
Change In Other Current Assets,101000000.0,2919000000.0,-1501000000.0,-962000000.0,-1599000000.0,,
Change In Payables And Accrued Expense,-619000000.0,1351000000.0,1728000000.0,1870000000.0,1505000000.0,,
Change In Payable,-619000000.0,1351000000.0,1728000000.0,1870000000.0,1505000000.0,,
Change In Account Payable,97000000.0,1055000000.0,2082000000.0,63000000.0,127000000.0,,
Change In Receivables,5025000000.0,-3544000000.0,-829000000.0,1746000000.0,2781000000.0,,
Changes In Account Receivables,5025000000.0,-3544000000.0,-829000000.0,1746000000.0,2781000000.0,,
Other Non Cash Items,69000000.0,-304000000.0,699000000.0,-63000000.0,30000000.0,,
Stock Based Compensation,276000000.0,348000000.0,176000000.0,223000000.0,197000000.0,,
Deferred Tax,-129000000.0,540000000.0,-733000000.0,-932000000.0,-151000000.0,,
Deferred Income Tax,-129000000.0,540000000.0,-733000000.0,-932000000.0,-151000000.0,,
Depreciation Amortization Depletion,1040000000.0,1029000000.0,1117000000.0,1099000000.0,1084000000.0,,
Depreciation And Amortization,1040000000.0,1029000000.0,1117000000.0,1099000000.0,1084000000.0,,
Operating Gains Losses,61000000.0,72000000.0,126000000.0,83000000.0,41000000.0,,
Gain Loss On Sale Of Business,61000000.0,72000000.0,126000000.0,83000000.0,41000000.0,,
Net Income From Continuing Operations,5670000000.0,6481000000.0,218000000.0,2543000000.0,3572000000.0,,
