,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,-11346000.0,-13392000.0,-26460000.0,-17596000.0,-5122488.975992
Tax Rate For Calcs,0.186,0.186,0.21,0.212,0.124939
Normalized EBITDA,9031000000.0,10019000000.0,1497000000.0,5414000000.0,6234000000.0
Total Unusual Items,-61000000.0,-72000000.0,-126000000.0,-83000000.0,-41000000.0
Total Unusual Items Excluding Goodwill,-61000000.0,-72000000.0,-126000000.0,-83000000.0,-41000000.0
Net Income From Continuing Operation Net Minority Interest,5484000000.0,6280000000.0,10000000.0,2348000000.0,3406000000.0
Reconciled Depreciation,1040000000.0,1029000000.0,1117000000.0,1099000000.0,1084000000.0
Reconciled Cost Of Revenue,88733000000.0,86312000000.0,94721000000.0,92524000000.0,91604000000.0
EBITDA,8970000000.0,9947000000.0,1371000000.0,5331000000.0,6193000000.0
EBIT,7930000000.0,8918000000.0,254000000.0,4232000000.0,5109000000.0
Net Interest Income,-962000000.0,-955000000.0,-974000000.0,-1003000000.0,-1027000000.0
Interest Expense,962000000.0,955000000.0,974000000.0,1003000000.0,1027000000.0
Normalized Income,5533654000.0,6338608000.0,109540000.0,2413404000.0,3441877511.024008
Net Income From Continuing And Discontinued Operation,5484000000.0,6280000000.0,10000000.0,2348000000.0,3406000000.0
Total Expenses,104041000000.0,102731000000.0,112835000000.0,108846000000.0,106466000000.0
Total Operating Income As Reported,7991000000.0,8990000000.0,380000000.0,4315000000.0,5150000000.0
Diluted Average Shares,906000000.0,910000000.0,910000000.0,908000000.0,910000000.0
Basic Average Shares,902000000.0,907675839.0,905838620.0,905673625.0,905000000.0
Diluted EPS,6.04,6.9,0.01,2.59,3.74
Basic EPS,6.06,6.91877,0.011039,2.592545,3.763536
Diluted NI Availto Com Stockholders,5484000000.0,6280000000.0,10000000.0,2348000000.0,3406000000.0
Net Income Common Stockholders,5484000000.0,6280000000.0,10000000.0,2348000000.0,3406000000.0
Net Income,5484000000.0,6280000000.0,10000000.0,2348000000.0,3406000000.0
Minority Interests,-186000000.0,-201000000.0,-208000000.0,-195000000.0,-166000000.0
Net Income Including Noncontrolling Interests,5670000000.0,6481000000.0,218000000.0,2543000000.0,3572000000.0
Net Income Continuous Operations,5670000000.0,6481000000.0,218000000.0,2543000000.0,3572000000.0
Tax Provision,1298000000.0,1482000000.0,-938000000.0,686000000.0,510000000.0
Pretax Income,6968000000.0,7963000000.0,-720000000.0,3229000000.0,4082000000.0
Other Income Expense,-61000000.0,-72000000.0,-126000000.0,-83000000.0,-41000000.0
Special Income Charges,-61000000.0,-72000000.0,-126000000.0,-83000000.0,-41000000.0
Gain On Sale Of Business,-61000000.0,-72000000.0,-126000000.0,-83000000.0,-41000000.0
Net Non Operating Interest Income Expense,-962000000.0,-955000000.0,-974000000.0,-1003000000.0,-1027000000.0
Interest Expense Non Operating,962000000.0,955000000.0,974000000.0,1003000000.0,1027000000.0
Operating Income,7991000000.0,8990000000.0,380000000.0,4315000000.0,5150000000.0
Operating Expense,15308000000.0,16419000000.0,18114000000.0,16322000000.0,14862000000.0
Other Operating Expenses,14268000000.0,15390000000.0,16997000000.0,15223000000.0,13778000000.0
Depreciation Amortization Depletion Income Statement,1040000000.0,1029000000.0,1117000000.0,1099000000.0,1084000000.0
Depreciation And Amortization In Income Statement,1040000000.0,1029000000.0,1117000000.0,1099000000.0,1084000000.0
Gross Profit,23299000000.0,25409000000.0,18494000000.0,20637000000.0,20012000000.0
Cost Of Revenue,88733000000.0,86312000000.0,94721000000.0,92524000000.0,91604000000.0
Total Revenue,112032000000.0,111721000000.0,113215000000.0,113161000000.0,111616000000.0
Operating Revenue,112032000000.0,111721000000.0,113215000000.0,113161000000.0,111616000000.0
