,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,3511000000.0,1279000000.0,-781000000.0,-1229000000.0,
Repurchase Of Capital Stock,-2592000000.0,-149000000.0,-5000000.0,0.0,
Repayment Of Debt,-2884000000.0,-2094000000.0,-2609000000.0,-1180000000.0,
Issuance Of Debt,1946000000.0,2150000000.0,3000000000.0,1180000000.0,
Issuance Of Capital Stock,,0.0,,881000000.0,0.0
Capital Expenditure,-418000000.0,-412000000.0,-487000000.0,-821000000.0,
Interest Paid Supplemental Data,169000000.0,367000000.0,396000000.0,294000000.0,
Income Tax Paid Supplemental Data,734000000.0,789000000.0,920000000.0,177000000.0,
End Cash Position,1579000000.0,2114000000.0,1879000000.0,2023000000.0,
Beginning Cash Position,2114000000.0,1879000000.0,2023000000.0,2327000000.0,
Effect Of Exchange Rate Changes,-3000000.0,6000000.0,-10000000.0,-9000000.0,
Changes In Cash,-532000000.0,229000000.0,-134000000.0,-295000000.0,
Financing Cash Flow,-4032000000.0,-1612000000.0,187000000.0,875000000.0,
Cash Flow From Continuing Financing Activities,-4032000000.0,-1612000000.0,187000000.0,875000000.0,
Net Other Financing Charges,-382000000.0,-1552000000.0,-279000000.0,-99000000.0,
Proceeds From Stock Option Exercised,64000000.0,77000000.0,80000000.0,93000000.0,
Cash Dividends Paid,-184000000.0,-44000000.0,0.0,0.0,
Preferred Stock Dividend Paid,-10000000.0,0.0,0.0,,
Common Stock Dividend Paid,-174000000.0,-44000000.0,0.0,,
Net Preferred Stock Issuance,0.0,0.0,-5000000.0,881000000.0,
Preferred Stock Payments,0.0,0.0,-5000000.0,,
Preferred Stock Issuance,,0.0,,881000000.0,0.0
Net Common Stock Issuance,-2592000000.0,-149000000.0,0.0,0.0,
Common Stock Payments,-2592000000.0,-149000000.0,0.0,0.0,
Net Issuance Payments Of Debt,-938000000.0,56000000.0,391000000.0,0.0,
Net Long Term Debt Issuance,-938000000.0,56000000.0,391000000.0,0.0,
Long Term Debt Payments,-2884000000.0,-2094000000.0,-2609000000.0,-1180000000.0,
Long Term Debt Issuance,1946000000.0,2150000000.0,3000000000.0,1180000000.0,
Investing Cash Flow,-429000000.0,150000000.0,-27000000.0,-762000000.0,
Cash Flow From Continuing Investing Activities,-429000000.0,150000000.0,-27000000.0,-762000000.0,
Net Other Investing Changes,,-27000000.0,239000000.0,14000000.0,-91000000.0
Dividends Received Cfi,0.0,175000000.0,0.0,0.0,
Net Investment Purchase And Sale,-11000000.0,8000000.0,26000000.0,31000000.0,
Sale Of Investment,,,,31000000.0,
Purchase Of Investment,,,,,-26000000.0
Net Business Purchase And Sale,0.0,401000000.0,0.0,0.0,
Sale Of Business,0.0,401000000.0,0.0,0.0,
Purchase Of Business,,,,,0.0
Net PPE Purchase And Sale,-418000000.0,-407000000.0,-292000000.0,-807000000.0,
Sale Of PPE,0.0,5000000.0,195000000.0,14000000.0,
Purchase Of PPE,-418000000.0,-412000000.0,-487000000.0,-821000000.0,
Operating Cash Flow,3929000000.0,1691000000.0,-294000000.0,-408000000.0,
Cash Flow From Continuing Operating Activities,3929000000.0,1691000000.0,-294000000.0,-408000000.0,
Change In Working Capital,-658000000.0,-1031000000.0,-307000000.0,92000000.0,
Change In Other Working Capital,230000000.0,-905000000.0,-342000000.0,-183000000.0,
Change In Payables And Accrued Expense,-129000000.0,204000000.0,247000000.0,-871000000.0,
Change In Accrued Expense,113000000.0,-412000000.0,456000000.0,-514000000.0,
Change In Payable,-242000000.0,616000000.0,-209000000.0,-357000000.0,
Change In Account Payable,385000000.0,268000000.0,265000000.0,-487000000.0,
Change In Tax Payable,-627000000.0,348000000.0,-474000000.0,130000000.0,
Change In Income Tax Payable,-627000000.0,348000000.0,-474000000.0,130000000.0,
Change In Inventory,-218000000.0,-409000000.0,356000000.0,-60000000.0,
Change In Receivables,-541000000.0,79000000.0,-568000000.0,1206000000.0,
Changes In Account Receivables,-541000000.0,79000000.0,-568000000.0,1206000000.0,
Other Non Cash Items,373000000.0,103000000.0,38000000.0,74000000.0,
Stock Based Compensation,204000000.0,265000000.0,295000000.0,318000000.0,
Asset Impairment Charge,35000000.0,2000000.0,158000000.0,19000000.0,
Deferred Tax,129000000.0,-745000000.0,-161000000.0,-48000000.0,
Deferred Income Tax,129000000.0,-745000000.0,-161000000.0,-48000000.0,
Depreciation Amortization Depletion,375000000.0,451000000.0,568000000.0,828000000.0,
Depreciation And Amortization,375000000.0,451000000.0,568000000.0,828000000.0,
Operating Gains Losses,-5953000000.0,757000000.0,-87000000.0,-7000000.0,
Gain Loss On Sale Of Business,-6498000000.0,659000000.0,0.0,0.0,
Net Income From Continuing Operations,9424000000.0,1889000000.0,-798000000.0,-1684000000.0,
