,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1281000000.0,978000000.0,653000000.0,599000000.0,675000000.0,,
Repurchase Of Capital Stock,-672000000.0,-752000000.0,-615000000.0,-553000000.0,,0.0,
Repayment Of Debt,-1320000000.0,-1501000000.0,-32000000.0,-31000000.0,-1837000000.0,,
Issuance Of Debt,450000000.0,1496000000.0,0.0,0.0,0.0,,
Capital Expenditure,-108000000.0,-145000000.0,-92000000.0,-73000000.0,-71000000.0,,
Interest Paid Supplemental Data,25000000.0,40000000.0,54000000.0,50000000.0,72000000.0,,
Income Tax Paid Supplemental Data,98000000.0,112000000.0,78000000.0,446000000.0,27000000.0,,
End Cash Position,1579000000.0,2050000000.0,1975000000.0,2048000000.0,2114000000.0,,
Other Cash Adjustment Outside Changein Cash,,,,0.0,,,
Beginning Cash Position,2050000000.0,1975000000.0,2048000000.0,2114000000.0,3477000000.0,,
Effect Of Exchange Rate Changes,0.0,-1000000.0,1000000.0,-3000000.0,3000000.0,,
Changes In Cash,-471000000.0,76000000.0,-74000000.0,-63000000.0,-1366000000.0,,
Financing Cash Flow,-1749000000.0,-902000000.0,-703000000.0,-678000000.0,-2042000000.0,,
Cash Flow From Continuing Financing Activities,-1749000000.0,-902000000.0,-703000000.0,-678000000.0,-2042000000.0,,
Net Other Financing Charges,-185000000.0,-102000000.0,-40000000.0,-55000000.0,-20000000.0,,
Proceeds From Stock Option Exercised,32000000.0,0.0,,,8000000.0,17000000.0,
Cash Dividends Paid,-54000000.0,-43000000.0,-48000000.0,-39000000.0,,0.0,
Preferred Stock Dividend Paid,0.0,0.0,-5000000.0,-5000000.0,,0.0,
Common Stock Dividend Paid,-54000000.0,-43000000.0,-43000000.0,-34000000.0,,0.0,
Net Common Stock Issuance,-672000000.0,-752000000.0,-615000000.0,-553000000.0,,0.0,
Common Stock Payments,-672000000.0,-752000000.0,-615000000.0,-553000000.0,,0.0,
Net Issuance Payments Of Debt,-870000000.0,-5000000.0,-32000000.0,-31000000.0,-1837000000.0,,
Net Long Term Debt Issuance,-870000000.0,-5000000.0,-32000000.0,-31000000.0,-1837000000.0,,
Long Term Debt Payments,-1320000000.0,-1501000000.0,-32000000.0,-31000000.0,-1837000000.0,,
Long Term Debt Issuance,450000000.0,1496000000.0,0.0,0.0,0.0,,
Investing Cash Flow,-111000000.0,-145000000.0,-116000000.0,-57000000.0,-70000000.0,,
Cash Flow From Continuing Investing Activities,-111000000.0,-145000000.0,-116000000.0,-57000000.0,-70000000.0,,
Net Other Investing Changes,,,,,0.0,57000000.0,-131000000.0
Dividends Received Cfi,0.0,0.0,,,0.0,-1000000.0,
Net Investment Purchase And Sale,-3000000.0,0.0,-24000000.0,16000000.0,1000000.0,,
Net Business Purchase And Sale,0.0,0.0,,,0.0,210000000.0,
Sale Of Business,0.0,0.0,,,0.0,210000000.0,
Net PPE Purchase And Sale,-108000000.0,-145000000.0,-92000000.0,-73000000.0,-71000000.0,,
Sale Of PPE,0.0,0.0,0.0,0.0,0.0,,
Purchase Of PPE,-108000000.0,-145000000.0,-92000000.0,-73000000.0,-71000000.0,,
Operating Cash Flow,1389000000.0,1123000000.0,745000000.0,672000000.0,746000000.0,,
Cash Flow From Continuing Operating Activities,1389000000.0,1123000000.0,745000000.0,672000000.0,746000000.0,,
Change In Working Capital,-290000000.0,-93000000.0,-176000000.0,-99000000.0,120000000.0,,
Change In Other Working Capital,-60000000.0,46000000.0,103000000.0,141000000.0,-312000000.0,,
Change In Payables And Accrued Expense,57000000.0,79000000.0,5000000.0,-270000000.0,429000000.0,,
Change In Accrued Expense,-10000000.0,30000000.0,108000000.0,-15000000.0,35000000.0,,
Change In Payable,67000000.0,49000000.0,-103000000.0,-255000000.0,394000000.0,,
Change In Account Payable,96000000.0,70000000.0,-29000000.0,248000000.0,-34000000.0,,
Change In Tax Payable,-29000000.0,-21000000.0,-74000000.0,-503000000.0,428000000.0,,
Change In Income Tax Payable,-29000000.0,-21000000.0,-74000000.0,-503000000.0,428000000.0,,
Change In Inventory,-154000000.0,-9000000.0,46000000.0,-101000000.0,20000000.0,,
Change In Receivables,-133000000.0,-209000000.0,-330000000.0,131000000.0,-17000000.0,,
Changes In Account Receivables,-133000000.0,-209000000.0,-330000000.0,131000000.0,-17000000.0,,
Other Non Cash Items,-188000000.0,549000000.0,8000000.0,4000000.0,7000000.0,,
Stock Based Compensation,45000000.0,53000000.0,53000000.0,53000000.0,45000000.0,,
Asset Impairment Charge,,,,,2000000.0,0.0,0.0
Deferred Tax,-2000000.0,47000000.0,29000000.0,55000000.0,-63000000.0,,
Deferred Income Tax,-2000000.0,47000000.0,29000000.0,55000000.0,-63000000.0,,
Depreciation Amortization Depletion,99000000.0,96000000.0,92000000.0,88000000.0,86000000.0,,
Depreciation And Amortization,99000000.0,96000000.0,92000000.0,88000000.0,86000000.0,,
Operating Gains Losses,,,-1103000000.0,-611000000.0,873000000.0,0.0,-117000000.0
Earnings Losses From Equity Investments,,,-1103000000.0,-611000000.0,,,0.0
Gain Loss On Sale Of Business,-6498000000.0,0.0,,,772000000.0,0.0,
Net Income From Continuing Operations,3195000000.0,3205000000.0,1842000000.0,1182000000.0,282000000.0,,
