,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Tax Effect Of Unusual Items,290350000.0,-140280000.0,-105000000.0,-30660000.0,
Tax Rate For Calcs,0.05,0.21,0.21,0.21,
Normalized EBITDA,4638000000.0,2606000000.0,743000000.0,435000000.0,
Total Unusual Items,5807000000.0,-668000000.0,-500000000.0,-146000000.0,
Total Unusual Items Excluding Goodwill,5807000000.0,-668000000.0,-500000000.0,-146000000.0,
Net Income From Continuing Operation Net Minority Interest,9298000000.0,1615000000.0,-765000000.0,-902000000.0,
Reconciled Depreciation,375000000.0,451000000.0,568000000.0,828000000.0,
Reconciled Cost Of Revenue,6608000000.0,5828000000.0,4544000000.0,4864000000.0,
EBITDA,10445000000.0,1938000000.0,243000000.0,289000000.0,
EBIT,10070000000.0,1487000000.0,-325000000.0,-539000000.0,
Net Interest Income,-114000000.0,-312000000.0,-381000000.0,-291000000.0,
Interest Expense,165000000.0,357000000.0,414000000.0,310000000.0,
Interest Income,51000000.0,45000000.0,33000000.0,19000000.0,
Normalized Income,3781350000.0,2142720000.0,-370000000.0,-786660000.0,
Net Income From Continuing And Discontinued Operation,9298000000.0,1861000000.0,-798000000.0,-1684000000.0,
Total Expenses,8320000000.0,7390000000.0,6220000000.0,6657000000.0,
Total Operating Income As Reported,4453000000.0,2334000000.0,-403000000.0,-548000000.0,
Diluted Average Shares,383000000.0,359000000.0,326000000.0,318000000.0,
Basic Average Shares,345000000.0,347000000.0,326000000.0,318000000.0,
Diluted EPS,26.92,5.139276,-1.72,-5.44,
Basic EPS,26.92,9.06,-1.72,-5.44,
Diluted NI Availto Com Stockholders,9298000000.0,1841000000.0,-852000000.0,-1708000000.0,
Average Dilution Earnings,12000000.0,1000000.0,0.0,,
Net Income Common Stockholders,9286000000.0,1840000000.0,-852000000.0,-1708000000.0,
Otherunder Preferred Stock Dividend,,4000000.0,,,
Preferred Stock Dividends,12000000.0,17000000.0,54000000.0,24000000.0,
Net Income,9298000000.0,1861000000.0,-798000000.0,-1684000000.0,
Minority Interests,-126000000.0,-28000000.0,0.0,,
Net Income Including Noncontrolling Interests,9424000000.0,1889000000.0,-798000000.0,-1684000000.0,
Net Income Discontinuous Operations,0.0,246000000.0,-33000000.0,-782000000.0,
Net Income Continuous Operations,9424000000.0,1643000000.0,-765000000.0,-902000000.0,
Tax Provision,481000000.0,-513000000.0,26000000.0,53000000.0,
Pretax Income,9905000000.0,1130000000.0,-739000000.0,-849000000.0,
Other Income Expense,5420000000.0,-688000000.0,-455000000.0,-156000000.0,
Other Non Operating Income Expenses,-387000000.0,-20000000.0,45000000.0,-10000000.0,
Special Income Charges,5807000000.0,-668000000.0,-500000000.0,-146000000.0,
Gain On Sale Of Ppe,,0.0,85000000.0,8000000.0,7000000.0
Gain On Sale Of Business,6498000000.0,-772000000.0,0.0,,
Other Special Charges,545000000.0,-98000000.0,291000000.0,5000000.0,
Write Off,,0.0,146000000.0,19000000.0,0.0
Restructuring And Mergern Acquisition,146000000.0,-6000000.0,209000000.0,130000000.0,
Net Non Operating Interest Income Expense,-114000000.0,-312000000.0,-381000000.0,-291000000.0,
Interest Expense Non Operating,165000000.0,357000000.0,414000000.0,310000000.0,
Interest Income Non Operating,51000000.0,45000000.0,33000000.0,19000000.0,
Operating Income,4599000000.0,2130000000.0,97000000.0,-402000000.0,
Operating Expense,1712000000.0,1562000000.0,1676000000.0,1793000000.0,
Research And Development,1161000000.0,994000000.0,950000000.0,986000000.0,
Selling General And Administration,551000000.0,568000000.0,726000000.0,807000000.0,
Gross Profit,6311000000.0,3692000000.0,1773000000.0,1391000000.0,
Cost Of Revenue,6608000000.0,5828000000.0,4544000000.0,4864000000.0,
Total Revenue,12919000000.0,9520000000.0,6317000000.0,6255000000.0,
Operating Revenue,12919000000.0,9520000000.0,6317000000.0,6255000000.0,
