,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,103375423.467816,-29500000.0,-3300000.0,72960000.0,-73097982.708934,,
Tax Rate For Calcs,0.016015,0.05,0.06,0.12,0.273775,,
Normalized EBITDA,-3095000000.0,4083000000.0,2163000000.0,876000000.0,774000000.0,,
Total Unusual Items,6455000000.0,-590000000.0,-55000000.0,608000000.0,-267000000.0,,
Total Unusual Items Excluding Goodwill,6455000000.0,-590000000.0,-55000000.0,608000000.0,-267000000.0,,
Net Income From Continuing Operation Net Minority Interest,3069000000.0,3205000000.0,1842000000.0,1182000000.0,224000000.0,,
Reconciled Depreciation,99000000.0,96000000.0,92000000.0,88000000.0,86000000.0,,
Reconciled Cost Of Revenue,1719000000.0,1661000000.0,1637000000.0,1591000000.0,1538000000.0,,
EBITDA,3360000000.0,3493000000.0,2108000000.0,1484000000.0,507000000.0,,
EBIT,3261000000.0,3397000000.0,2016000000.0,1396000000.0,421000000.0,,
Net Interest Income,-4000000.0,-26000000.0,-42000000.0,-42000000.0,-54000000.0,,
Interest Expense,14000000.0,38000000.0,54000000.0,59000000.0,74000000.0,,
Interest Income,10000000.0,12000000.0,12000000.0,17000000.0,20000000.0,,
Normalized Income,-3282624576.532184,3765500000.0,1893700000.0,646960000.0,417902017.291066,,
Net Income From Continuing And Discontinued Operation,3069000000.0,3205000000.0,1842000000.0,1182000000.0,257000000.0,,
Total Expenses,2141000000.0,2102000000.0,2054000000.0,2023000000.0,1924000000.0,,
Total Operating Income As Reported,1563000000.0,1190000000.0,908000000.0,792000000.0,680000000.0,,
Diluted Average Shares,389000000.0,387000000.0,381000000.0,376000000.0,362000000.0,,
Basic Average Shares,350000000.0,342000000.0,341000000.0,345000000.0,348000000.0,,
Diluted EPS,8.213368,8.2,4.73,3.07,0.754144,,
Basic EPS,17.34,9.26,5.27,3.34,1.37,,
Diluted NI Availto Com Stockholders,3182000000.0,3168000000.0,1802000000.0,1154000000.0,273000000.0,,
Average Dilution Earnings,2000000.0,0.0,4000000.0,2000000.0,0.0,,
Net Income Common Stockholders,3180000000.0,3168000000.0,1798000000.0,1152000000.0,273000000.0,,
Otherunder Preferred Stock Dividend,,35000000.0,,25000000.0,-21000000.0,13000000.0,9000000.0
Preferred Stock Dividends,0.0,2000000.0,44000000.0,5000000.0,5000000.0,,
Net Income,3069000000.0,3205000000.0,1842000000.0,1182000000.0,257000000.0,,
Net Income Including Noncontrolling Interests,3195000000.0,3205000000.0,1842000000.0,1182000000.0,285000000.0,,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,33000000.0,,
Net Income Continuous Operations,3195000000.0,3205000000.0,1842000000.0,1182000000.0,252000000.0,,
Tax Provision,52000000.0,154000000.0,120000000.0,155000000.0,95000000.0,,
Pretax Income,3247000000.0,3359000000.0,1962000000.0,1337000000.0,347000000.0,,
Other Income Expense,1645000000.0,2150000000.0,1041000000.0,584000000.0,-280000000.0,,
Other Non Operating Income Expenses,-4810000000.0,2740000000.0,1096000000.0,-24000000.0,-13000000.0,,
Special Income Charges,6455000000.0,-590000000.0,-55000000.0,608000000.0,-873000000.0,,
Gain On Sale Of Ppe,,,,,,,0.0
Gain On Sale Of Business,,,,611000000.0,,,113000000.0
Other Special Charges,0.0,545000000.0,,,99000000.0,-201000000.0,-9000000.0
Write Off,,,,,0.0,0.0,0.0
Restructuring And Mergern Acquisition,43000000.0,45000000.0,55000000.0,3000000.0,2000000.0,,
Gain On Sale Of Security,,,,,,-606000000.0,
Net Non Operating Interest Income Expense,-4000000.0,-26000000.0,-42000000.0,-42000000.0,-54000000.0,,
Interest Expense Non Operating,14000000.0,38000000.0,54000000.0,59000000.0,74000000.0,,
Interest Income Non Operating,10000000.0,12000000.0,12000000.0,17000000.0,20000000.0,,
Operating Income,1606000000.0,1235000000.0,963000000.0,795000000.0,681000000.0,,
Operating Expense,422000000.0,441000000.0,417000000.0,432000000.0,386000000.0,,
Research And Development,284000000.0,294000000.0,289000000.0,294000000.0,262000000.0,,
Selling General And Administration,138000000.0,147000000.0,128000000.0,138000000.0,124000000.0,,
Gross Profit,2028000000.0,1676000000.0,1380000000.0,1227000000.0,1067000000.0,,
Cost Of Revenue,1719000000.0,1661000000.0,1637000000.0,1591000000.0,1538000000.0,,
Total Revenue,3747000000.0,3337000000.0,3017000000.0,2818000000.0,2605000000.0,,
Operating Revenue,3747000000.0,3337000000.0,3017000000.0,2818000000.0,2605000000.0,,
